Period,Sales +,Expenses +,Operating Profit,OPM %,Other Income +,Interest,Depreciation,Profit before tax,Tax %,Net Profit +,EPS in Rs,Dividend Payout %,Equity Capital,Reserves,Borrowings +,Other Liabilities +,Total Liabilities,Fixed Assets +,CWIP,Investments,Other Assets +,Total Assets,Ticker,Revenue +,Financing Profit,Financing Margin %,Borrowing,Deposits,Raw PDF
Mar 2023,7776.0,2806.0,4970.0,64%,667.0,2911.0,1300.0,1426.0,32%,973.0,6.15,-0%,1584.0,5720.0,54223.0,5382.0,66909.0,48336.0,5291.0,1149.0,12133.0,66909.0,ADANIGREEN.NS,,,,,,
Mar 2024,9220.0,1881.0,7339.0,80%,1323.0,5088.0,1903.0,1671.0,25%,1260.0,6.94,-0%,1584.0,9058.0,64858.0,12586.0,88086.0,62284.0,6427.0,1515.0,17860.0,88086.0,ADANIGREEN.NS,,,,,,
Mar 2025,11212.0,2323.0,8889.0,79%,1316.0,5492.0,2498.0,2215.0,10%,2001.0,9.12,-0%,1584.0,10553.0,80040.0,18587.0,110764.0,79914.0,14480.0,2743.0,13627.0,110764.0,ADANIGREEN.NS,,,,,,
Mar 2026,12928.0,2160.0,10768.0,83%,672.0,6484.0,3372.0,1584.0,1%,1987.0,10.03,-0%,1647.0,18318.0,103545.0,20587.0,144097.0,102153.0,19016.0,2983.0,19945.0,144097.0,ADANIGREEN.NS,,,,,,
Mar 2014,4830.0,1910.0,2919.0,60%,685.0,977.0,649.0,1978.0,12%,1741.0,8.4,12%,414.0,8351.0,12979.0,2933.0,24677.0,13163.0,2025.0,63.0,9426.0,24677.0,ADANIPORTS.NS,,,,,,
Mar 2015,6152.0,2250.0,3902.0,63%,686.0,1175.0,912.0,2501.0,7%,2324.0,11.18,10%,414.0,10351.0,17776.0,3541.0,32082.0,20527.0,1276.0,260.0,10020.0,32082.0,ADANIPORTS.NS,,,,,,
Mar 2016,7109.0,2532.0,4577.0,64%,730.0,1124.0,1063.0,3119.0,9%,2856.0,13.99,8%,414.0,13091.0,22342.0,2538.0,38385.0,20883.0,1967.0,545.0,14990.0,38385.0,ADANIPORTS.NS,,,,,,
Mar 2017,8439.0,3021.0,5418.0,64%,1037.0,1116.0,1160.0,4179.0,7%,3902.0,18.89,7%,414.0,17112.0,22214.0,3629.0,43369.0,21054.0,4514.0,1161.0,16641.0,43369.0,ADANIPORTS.NS,,,,,,
Mar 2018,11323.0,4166.0,7157.0,63%,844.0,1579.0,1188.0,5234.0,30%,3690.0,17.74,11%,414.0,20489.0,22370.0,3960.0,47233.0,22670.0,4545.0,1079.0,18938.0,47233.0,ADANIPORTS.NS,,,,,,
Mar 2019,10925.0,4330.0,6596.0,60%,1289.0,1385.0,1373.0,5126.0,21%,4045.0,19.27,1%,414.0,23958.0,27712.0,4228.0,56311.0,28121.0,4483.0,782.0,22924.0,56311.0,ADANIPORTS.NS,,,,,,
