ticker,effective_date
TECHM.NS,2021-09-30
TITAN.NS,2021-09-30
TORNTPHARM.NS,2021-09-30
TORNTPOWER.NS,2021-09-30
TRENT.NS,2021-09-30
TVSMOTOR.NS,2021-09-30
UBL.NS,2021-09-30
ULTRACEMCO.NS,2021-09-30
UPL.NS,2021-09-30
VBL.NS,2021-09-30
VEDL.NS,2021-09-30
VOLTAS.NS,2021-09-30
WHIRLPOOL.NS,2021-09-30
WIPRO.NS,2021-09-30
YESBANK.NS,2021-09-30
ZEEL.NS,2021-09-30
ZYDUSLIFE.NS,2021-09-30
AARTIIND.NS,2022-03-31
ABBOTINDIA.NS,2022-03-31
ABCAPITAL.NS,2022-03-31
ABFRL.NS,2022-03-31
ACC.NS,2022-03-31
ADANIENSOL.NS,2022-03-31
ADANIENT.NS,2022-03-31
ADANIGAS.NS,2022-03-31
ADANIGREEN.NS,2022-03-31
ADANIPORTS.NS,2022-03-31
ALKEM.NS,2022-03-31
AMBUJACEM.NS,2022-03-31
APLLTD.NS,2022-03-31
APOLLOHOSP.NS,2022-03-31
APOLLOTYRE.NS,2022-03-31
ASHOKLEY.NS,2022-03-31
ASIANPAINT.NS,2022-03-31
ASTRAL.NS,2022-03-31
AUBANK.NS,2022-03-31
AUROPHARMA.NS,2022-03-31
AXISBANK.NS,2022-03-31
BAJAJ-AUTO.NS,2022-03-31
BAJAJFINSV.NS,2022-03-31
BAJAJHLDNG.NS,2022-03-31
BAJFINANCE.NS,2022-03-31
BANDHANBNK.NS,2022-03-31
BANKBARODA.NS,2022-03-31
BANKINDIA.NS,2022-03-31
BATAINDIA.NS,2022-03-31
BEL.NS,2022-03-31
BERGEPAINT.NS,2022-03-31
BHARATFORG.NS,2022-03-31
BHARTIARTL.NS,2022-03-31
BHEL.NS,2022-03-31
BIOCON.NS,2022-03-31
BOSCHLTD.NS,2022-03-31
BPCL.NS,2022-03-31
BRITANNIA.NS,2022-03-31
CANBK.NS,2022-03-31
CHOLAFIN.NS,2022-03-31
CIPLA.NS,2022-03-31
CLEAN.NS,2022-03-31
COALINDIA.NS,2022-03-31
COFORGE.NS,2022-03-31
COLPAL.NS,2022-03-31
CONCOR.NS,2022-03-31
COROMANDEL.NS,2022-03-31
CROMPTON.NS,2022-03-31
CUMMINSIND.NS,2022-03-31
DABUR.NS,2022-03-31
DEEPAKNTR.NS,2022-03-31
DIVISLAB.NS,2022-03-31
DIXON.NS,2022-03-31
DLF.NS,2022-03-31
DMART.NS,2022-03-31
DRREDDY.NS,2022-03-31
EICHERMOT.NS,2022-03-31
EMAMILTD.NS,2022-03-31
ESCORTS.NS,2022-03-31
ETERNAL.NS,2022-03-31
EXIDEIND.NS,2022-03-31
FEDERALBNK.NS,2022-03-31
FORTIS.NS,2022-03-31
GAIL.NS,2022-03-31
GLAND.NS,2022-03-31
GLENMARK.NS,2022-03-31
GODREJCP.NS,2022-03-31
GODREJPROP.NS,2022-03-31
GRASIM.NS,2022-03-31
GSPL.NS,2022-03-31
GUJGASLTD.NS,2022-03-31
HAL.NS,2022-03-31
HAVELLS.NS,2022-03-31
HCLTECH.NS,2022-03-31
HDFCAMC.NS,2022-03-31
HDFCBANK.NS,2022-03-31
HDFCLIFE.NS,2022-03-31
HEROMOTOCO.NS,2022-03-31
HINDPETRO.NS,2022-03-31
HINDUNILVR.NS,2022-03-31
HINDZINC.NS,2022-03-31
ICICIBANK.NS,2022-03-31
ICICIGI.NS,2022-03-31
ICICIPRULI.NS,2022-03-31
IDBI.NS,2022-03-31
IDEA.NS,2022-03-31
IDFCFIRSTB.NS,2022-03-31
IEX.NS,2022-03-31
IGL.NS,2022-03-31
INDHOTEL.NS,2022-03-31
INDIAMART.NS,2022-03-31
INDIANB.NS,2022-03-31
INDIGO.NS,2022-03-31
INDUSINDBK.NS,2022-03-31
INDUSTOWER.NS,2022-03-31
INFY.NS,2022-03-31
IOC.NS,2022-03-31
IPCALAB.NS,2022-03-31
IRCTC.NS,2022-03-31
ISEC.NS,2022-03-31
ITC.NS,2022-03-31
JINDALSTEL.NS,2022-03-31
JSWENERGY.NS,2022-03-31
JUBLFOOD.NS,2022-03-31
KOTAKBANK.NS,2022-03-31
LALPATHLAB.NS,2022-03-31
LAURUSLABS.NS,2022-03-31
LICHSGFIN.NS,2022-03-31
LT.NS,2022-03-31
LTF.NS,2022-03-31
LTIM.NS,2022-03-31
LTTS.NS,2022-03-31
LUPIN.NS,2022-03-31
M&M.NS,2022-03-31
M&MFIN.NS,2022-03-31
MANAPPURAM.NS,2022-03-31
MARICO.NS,2022-03-31
MARUTI.NS,2022-03-31
MAXHEALTH.NS,2022-03-31
METROPOLIS.NS,2022-03-31
MFSL.NS,2022-03-31
MPHASIS.NS,2022-03-31
MRF.NS,2022-03-31
MUTHOOTFIN.NS,2022-03-31
NAM-INDIA.NS,2022-03-31
